rank,name,team,pitcher,odds,brl,hh,contact,pitcherScore,env,recent,intel,grade
1,James Wood,Washington Nationals,Nick Lodolo,362,27.6,61.2,92,77.2,35,50,70,PLUS
2,Luke Raley,Seattle Mariners,Lance McCullers Jr.,474,22.2,54,86.2,80.6,35,50,68.3,PLUS
3,Ian Happ,Chicago Cubs,JR Ritchie,430,18.3,41.9,76.5,78.2,49.5,50,68.1,PLUS
4,Willson Contreras,Boston Red Sox,Andrew Painter,490,18,46.2,80,86.7,35,50,68,PLUS
5,Kazuma Okamoto,Toronto Blue Jays,Griffin Jax,398,15.5,53.4,79.5,67.8,53.8,50,67.9,PLUS
6,Nick Kurtz,Athletics,Matthew Liberatore,333,15.4,59.3,83.9,71.5,35,50,66.6,PLUS
7,Shea Langeliers,Athletics,Matthew Liberatore,240,17.1,48.7,79.7,71.5,35,50,66.1,PLUS
8,Corey Seager,Texas Rangers,Ryne Nelson,441,16,46.2,75,69.3,51.4,50,65.9,PLUS
9,Oneil Cruz,Pittsburgh Pirates,Jose Quintana,400,19.8,60.7,91.6,59.2,35,50,65.6,PLUS
10,Mickey Gasper,Boston Red Sox,Andrew Painter,790,14.3,85.7,85.8,86.7,35,50,65.6,PLUS
11,Munetaka Murakami,Chicago White Sox,Seth Lugo,293,21.7,63.9,94.1,37,52.5,50,64.7,NEUTRAL
12,Kyle Stowers,Miami Marlins,Simeon Woods Richardson,400,3.8,58.5,54.8,93.6,35,50,64.3,NEUTRAL
13,Dominic Canzone,Seattle Mariners,Lance McCullers Jr.,529,15.4,49.2,75.9,80.6,35,50,64.2,NEUTRAL
14,Wilyer Abreu,Boston Red Sox,Andrew Painter,490,12,46.6,65.3,86.7,35,50,64.1,NEUTRAL
15,Moisés Ballesteros,Chicago Cubs,JR Ritchie,610,13.4,48.8,70.5,78.2,49.5,50,64.1,NEUTRAL
16,Max Muncy,Los Angeles Dodgers,Robbie Ray,320,19.6,55.7,87.6,40.3,53.3,50,63.3,NEUTRAL
17,Seiya Suzuki,Chicago Cubs,JR Ritchie,425,9.5,43.2,56.3,78.2,49.5,50,62.8,NEUTRAL
18,Brent Rooker,Athletics,Matthew Liberatore,310,15,41.7,68.9,71.5,35,50,62.6,NEUTRAL
19,Corbin Carroll,Arizona Diamondbacks,Kumar Rocker,451,12,43,62.4,68.6,51.2,50,62.4,NEUTRAL
20,Bobby Witt Jr.,Kansas City Royals,Noah Schultz,475,13.2,51.8,72.4,56.5,51.9,50,62,NEUTRAL
21,JJ Bleday,Cincinnati Reds,Jake Irvin,390,15.8,55.3,81.7,54.3,35,50,61.9,NEUTRAL
22,Juan Soto,New York Mets,Framber Valdez,470,19,47.5,81,59.3,35,50,61.9,NEUTRAL
23,Jake Burger,Texas Rangers,Ryne Nelson,470,9.8,47.3,60.3,69.3,51.4,50,61.9,NEUTRAL
24,Tyler Soderstrom,Athletics,Matthew Liberatore,475,13.3,47.4,69.2,71.5,35,50,61.7,NEUTRAL
25,Ketel Marte,Arizona Diamondbacks,Kumar Rocker,426,9.7,46.8,59.7,68.6,51.2,50,61.7,NEUTRAL
26,Christopher Morel,Miami Marlins,Simeon Woods Richardson,520,0,44.4,53.5,93.6,35,50,61.6,NEUTRAL
27,Michael Busch,Chicago Cubs,JR Ritchie,450,8.8,39.8,51.8,78.2,49.5,50,61.6,NEUTRAL
28,Cal Raleigh,Seattle Mariners,Lance McCullers Jr.,310,12.5,30.8,53.9,80.6,35,50,60.9,NEUTRAL
29,Sal Stewart,Cincinnati Reds,Jake Irvin,369,18.7,43.3,77.6,54.3,35,50,60.8,NEUTRAL
30,Brandon Nimmo,Texas Rangers,Ryne Nelson,573,9.7,51.6,63.5,69.3,51.4,50,60.8,NEUTRAL
31,Pete Crow-Armstrong,Chicago Cubs,JR Ritchie,550,8.1,46.8,55.7,78.2,49.5,50,60.8,NEUTRAL
32,Kyle Schwarber,Philadelphia Phillies,Sonny Gray,250,24.5,50,83,44.8,35,50,60.6,NEUTRAL
33,Dansby Swanson,Chicago Cubs,JR Ritchie,650,9.4,45.8,58.1,78.2,49.5,50,60.6,NEUTRAL
34,Elly De La Cruz,Cincinnati Reds,Jake Irvin,310,15,51.3,76.5,54.3,35,50,60.5,NEUTRAL
35,Otto Lopez,Miami Marlins,Simeon Woods Richardson,850,9.8,46.6,59.8,93.6,35,50,60.2,NEUTRAL
36,Julio Rodríguez,Seattle Mariners,Lance McCullers Jr.,470,8.7,41.7,53.1,80.6,35,50,59.8,NEUTRAL
37,Owen Caissie,Miami Marlins,Simeon Woods Richardson,850,10.3,43.1,58.2,93.6,35,50,59.8,NEUTRAL
38,CJ Abrams,Washington Nationals,Nick Lodolo,543,12.2,41.7,61.9,77.2,35,50,59.6,NEUTRAL
39,Connor Norby,Miami Marlins,Simeon Woods Richardson,650,9.1,36.4,49.9,93.6,35,50,59.5,NEUTRAL
40,Carson Kelly,Chicago Cubs,JR Ritchie,680,8.8,45,56,78.2,49.5,50,59.1,NEUTRAL
41,Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,598,5.1,44.1,46,93.6,35,50,58.9,NEUTRAL
42,Joc Pederson,Texas Rangers,Ryne Nelson,590,7.2,50.7,56.6,69.3,51.4,50,58.9,NEUTRAL
43,Joey Wiemer,Washington Nationals,Nick Lodolo,610,12.1,41.2,61.2,77.2,35,50,58.8,NEUTRAL
44,Alex Bregman,Chicago Cubs,JR Ritchie,576,6,45.1,49.1,78.2,49.5,50,58.8,NEUTRAL
45,Vladimir Guerrero Jr.,Toronto Blue Jays,Griffin Jax,544,9,42.5,54.5,67.8,53.8,50,58.8,NEUTRAL
46,Caleb Durbin,Boston Red Sox,Andrew Painter,1220,90,30.9,67.7,86.7,35,50,58.5,NEUTRAL
47,George Springer,Toronto Blue Jays,Griffin Jax,503,8.5,39.4,50.8,67.8,53.8,50,58.3,NEUTRAL
48,Jarren Duran,Boston Red Sox,Andrew Painter,690,9.9,39.8,54.6,86.7,35,50,58,NEUTRAL
49,Josh Jung,Texas Rangers,Ryne Nelson,550,5.7,48,50.7,69.3,51.4,50,57.7,NEUTRAL
50,Spencer Steer,Cincinnati Reds,Jake Irvin,470,16.2,38.5,69.3,54.3,35,50,57.6,NEUTRAL
51,Brady House,Washington Nationals,Nick Lodolo,680,11.2,42.9,60.3,77.2,35,50,57.3,NEUTRAL
52,Colson Montgomery,Chicago White Sox,Seth Lugo,350,14.3,41.8,67.2,37,52.5,50,57.1,NEUTRAL
53,Salvador Perez,Kansas City Royals,Noah Schultz,430,9,40.2,52.7,56.5,51.9,50,57.1,NEUTRAL
54,Gabriel Moreno,Arizona Diamondbacks,Kumar Rocker,1000,13.2,43.4,65.7,68.6,51.2,50,57.1,NEUTRAL
55,Jordan Walker,St. Louis Cardinals,J.T. Ginn,650,18.3,53.8,86,43.6,35,50,56.9,NEUTRAL
56,Will Benson,Cincinnati Reds,Jake Irvin,323,13.2,39,62.2,54.3,35,50,56.8,NEUTRAL
57,Josh Naylor,Seattle Mariners,Lance McCullers Jr.,567,6.8,41.7,48.4,80.6,35,50,56.7,NEUTRAL
58,Carlos Narváez,Boston Red Sox,Andrew Painter,850,8.6,39.7,51.3,86.7,35,50,56.3,NEUTRAL
59,Tyler Stephenson,Cincinnati Reds,Jake Irvin,540,13.2,47.9,69.3,54.3,35,50,56.1,NEUTRAL
60,Jesús Sánchez,Toronto Blue Jays,Griffin Jax,690,6.9,45.5,51.7,67.8,53.8,50,56.1,NEUTRAL
61,Randy Arozarena,Seattle Mariners,Lance McCullers Jr.,591,6.1,41.7,46.6,80.6,35,50,56,NEUTRAL
62,Zack Gelof,Athletics,Matthew Liberatore,450,6.1,40.8,45.9,71.5,35,50,55.9,NEUTRAL
63,Will Smith,Los Angeles Dodgers,Robbie Ray,420,13.4,38.1,62,40.3,53.3,50,55.9,NEUTRAL
64,Marcelo Mayer,Boston Red Sox,Andrew Painter,820,7,41.4,48.6,86.7,35,50,55.8,NEUTRAL
65,Miguel Vargas,Chicago White Sox,Seth Lugo,550,15.5,44,72,37,52.5,50,55.7,NEUTRAL
66,Daulton Varsho,Toronto Blue Jays,Griffin Jax,520,5.4,37.8,41.7,67.8,53.8,50,55.7,NEUTRAL
67,Liam Hicks,Miami Marlins,Simeon Woods Richardson,900,6.9,39.7,47,93.6,35,50,55.7,NEUTRAL
68,Brandon Lowe,Pittsburgh Pirates,Jose Quintana,543,12.5,42.3,63.1,59.2,35,50,55.6,NEUTRAL
69,Adrian Del Castillo,Arizona Diamondbacks,Kumar Rocker,780,9.1,39.3,52.2,68.6,51.2,50,55.5,NEUTRAL
70,Freddie Freeman,Los Angeles Dodgers,Robbie Ray,520,11.9,47.8,66,40.3,53.3,50,55.3,NEUTRAL
71,Evan Carter,Texas Rangers,Ryne Nelson,770,8.4,38.9,50.1,69.3,51.4,50,55.2,NEUTRAL
72,Carter Jensen,Kansas City Royals,Noah Schultz,800,11.4,43,60.9,56.5,51.9,50,54.9,THIN
