rank,player,team,game,odds,book,score,tier,trend,pitcher,pitcher_attack,park,park_label,weather,trusted_books,odds_quality
1,Xavier Edwards,Miami Marlins,Miami Marlins @ Minnesota Twins,+950,Caesars,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
2,Liam Hicks,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
3,Jakob Marsee,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
4,Joe Mack,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
5,Owen Caissie,Miami Marlins,Miami Marlins @ Minnesota Twins,+850,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
6,Otto Lopez,Miami Marlins,Miami Marlins @ Minnesota Twins,+850,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
7,Connor Norby,Miami Marlins,Miami Marlins @ Minnesota Twins,+650,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
8,Heriberto Hernández,Miami Marlins,Miami Marlins @ Minnesota Twins,+598,DraftKings,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
9,Randy Arozarena,Seattle Mariners,Seattle Mariners @ Houston Astros,+591,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
10,Brendan Donovan,Seattle Mariners,Seattle Mariners @ Houston Astros,+589,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
11,Josh Naylor,Seattle Mariners,Seattle Mariners @ Houston Astros,+567,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
12,Dominic Canzone,Seattle Mariners,Seattle Mariners @ Houston Astros,+529,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
13,Christopher Morel,Miami Marlins,Miami Marlins @ Minnesota Twins,+520,FanDuel,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
14,Luke Raley,Seattle Mariners,Seattle Mariners @ Houston Astros,+474,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
